ds.a.	3600	in	ns	bt.bs.d.
dt.g.a.	3600	in	a	212.18.249.67
dt.g.a.	3600	in	aaaa	2a04:2b00:13ff:0000:0000:0000:0000:0067
du.a.	3600	in	ns	f.at.du.k.
du.a.	3600	in	ns	av.at.du.k.
du.a.	3600	in	ns	aw.at.du.k.
du.a.	3600	in	ns	ax.at.du.k.
dv.a.	3600	in	ns	br.bs.d.
dv.a.	3600	in	ns	bt.bs.d.
dw.a.	3600	in	ns	i.dx.k.
dw.a.	3600	in	ns	l.dx.k.
dw.a.	3600	in	ns	m.dx.k.
dy.a.	3600	in	ns	dz.ch.d.
dy.a.	3600	in	ns	ea.ch.d.
dy.a.	3600	in	ns	eb.ch.s.
dy.a.	3600	in	ns	ec.ch.s.
dy.a.	3600	in	ns	ed.ch.cc.
dy.a.	3600	in	ns	ee.ch.ai.aj.
ef.a.	3600	in	ns	eg.eh.k.
ef.a.	3600	in	ns	ei.eh.k.
ef.a.	3600	in	ns	ej.eh.k.
ef.a.	3600	in	ns	ek.eh.k.
ef.a.	3600	in	ns	el.eh.k.
ef.a.	3600	in	ns	em.eh.k.
en.a.	3600	in	ns	i.j.k.
en.a.	3600	in	ns	l.j.k.
en.a.	3600	in	ns	m.j.k.
en.a.	3600	in	ns	n.j.k.
eo.a.	3600	in	ns	ep.dc.s.
eo.a.	3600	in	ns	eq.er.ai.aj.
eo.a.	3600	in	ns	es.et.k.
eo.a.	3600	in	ns	eu.ev.d.
ew.a.	3600	in	ns	ex.ey.d.
ew.a.	3600	in	ns	ez.ey.d.
j.a.	3600	in	ns	i.j.k.
j.a.	3600	in	ns	l.j.k.
j.a.	3600	in	ns	m.j.k.
j.a.	3600	in	ns	n.j.k.
fa.a.	3600	in	ns	p.q.r.
fa.a.	3600	in	ns	p.q.k.
fa.a.	3600	in	ns	p.q.d.
fa.a.	3600	in	ns	p.q.s.
fb.a.	3600	in	ns	f.at.du.k.
fb.a.	3600	in	ns	av.at.du.k.
fb.a.	3600	in	ns	aw.at.du.k.
fb.a.	3600	in	ns	ax.at.du.k.
fc.a.	3600	in	ns	i.v.k.
fc.a.	3600	in	ns	l.v.k.
fc.a.	3600	in	ns	m.v.k.
fc.a.	3600	in	ns	n.v.k.
fd.a.	3600	in	ns	f.at.au.k.
fd.a.	3600	in	ns	av.at.au.k.
fd.a.	3600	in	ns	aw.at.au.k.
fd.a.	3600	in	ns	ax.at.au.k.
fe.a.	3600	in	ns	f.at.au.k.
fe.a.	3600	in	ns	av.at.au.k.
fe.a.	3600	in	ns	aw.at.au.k.
fe.a.	3600	in	ns	ax.at.au.k.
ff.a.	3600	in	ns	f.at.au.k.
ff.a.	3600	in	ns	av.at.au.k.
ff.a.	3600	in	ns	aw.at.au.k.
ff.a.	3600	in	ns	ax.at.au.k.
fg.a.	3600	in	ns	i.v.k.
fg.a.	3600	in	ns	l.v.k.
fg.a.	3600	in	ns	m.v.k.
fg.a.	3600	in	ns	n.v.k.
fg.a.	3600	in	ns	w.v.k.
fg.a.	3600	in	ns	x.v.k.
fg.a.	3600	in	ns	y.v.k.
fh.a.	3600	in	ns	fi.eo.fh.k.
fh.a.	3600	in	ns	eg.eo.fh.k.
fh.a.	3600	in	ns	fj.eo.fh.k.
fk.a.	3600	in	ns	fl.at.cq.k.
fk.a.	3600	in	ns	fm.at.cq.k.
fn.a.	3600	in	ns	i.v.k.
fn.a.	3600	in	ns	l.v.k.
fn.a.	3600	in	ns	m.v.k.
fn.a.	3600	in	ns	n.v.k.
fn.a.	3600	in	ns	w.v.k.
fn.a.	3600	in	ns	x.v.k.
fn.a.	3600	in	ns	y.v.k.
fo.a.	3600	in	ns	f.fp.fq.d.
fo.a.	3600	in	ns	av.fp.fq.d.
fo.a.	3600	in	ns	aw.fp.fq.d.
fr.a.	3600	in	ns	i.fs.k.
fr.a.	3600	in	ns	l.fs.k.
fr.a.	3600	in	ns	m.fs.k.
fr.a.	3600	in	ns	n.fs.k.
ft.a.	3600	in	ns	f.at.du.k.
ft.a.	3600	in	ns	av.at.du.k.
ft.a.	3600	in	ns	aw.at.du.k.
ft.a.	3600	in	ns	ax.at.du.k.
fu.a.	3600	in	ns	fv.by.k.
fu.a.	3600	in	ns	fw.by.d.
fu.a.	3600	in	ns	fx.by.s.
fu.a.	3600	in	ns	fy.by.cc.
fz.a.	3600	in	ns	ga.gb.k.
fz.a.	3600	in	ns	gc.gb.k.
gd.a.	3600	in	ns	fp.ge.k.
gd.a.	3600	in	ns	bt.ge.k.
gf.a.	3600	in	ns	gg.at.cq.k.
gf.a.	3600	in	ns	gh.at.cq.k.
g.a.	172800	in	ns	f.g.a.
g.a.	172800	in	ns	av.g.a.
g.a.	172800	in	ns	dh.g.a.
g.a.	172800	in	ns	dt.g.a.
gi.a.	3600	in	ns	gj.at.gk.k.
gi.a.	3600	in	ns	gl.at.gk.k.
gi.a.	3600	in	ns	gm.at.gk.k.
gi.a.	3600	in	ns	gn.at.gk.k.
go.a.	3600	in	ns	f.at.du.k.
go.a.	3600	in	ns	av.at.du.k.
go.a.	3600	in	ns	aw.at.du.k.
go.a.	3600	in	ns	ax.at.du.k.
gp.a.	3600	in	ns	f.at.du.k.
gp.a.	3600	in	ns	av.at.du.k.
gp.a.	3600	in	ns	aw.at.du.k.
gp.a.	3600	in	ns	ax.at.du.k.
gq.a.	3600	in	ns	f.at.du.k.
gq.a.	3600	in	ns	av.at.du.k.
gq.a.	3600	in	ns	aw.at.du.k.
gq.a.	3600	in	ns	ax.at.du.k.
gr.a.	3600	in	ns	at.gs.gt.
gr.a.	3600	in	ns	at.gs.k.
gr.a.	3600	in	ns	at.gs.gu.
gr.a.	3600	in	ns	at.gs.gv.
gw.a.	3600	in	ns	br.bs.d.
gw.a.	3600	in	ns	bt.bs.d.
gx.a.	3600	in	ns	br.bs.d.
gx.a.	3600	in	ns	bt.bs.d.
gy.a.	3600	in	ns	br.bs.d.
gy.a.	3600	in	ns	bt.bs.d.
gz.a.	3600	in	ns	br.bs.d.
gz.a.	3600	in	ns	bt.bs.d.
ha.a.	3600	in	ns	i.v.k.
ha.a.	3600	in	ns	l.v.k.
ha.a.	3600	in	ns	m.v.k.
ha.a.	3600	in	ns	n.v.k.
ha.a.	3600	in	ns	w.v.k.
ha.a.	3600	in	ns	x.v.k.
ha.a.	3600	in	ns	y.v.k.
